Username,Comment
Utaraselatan ,ku kira orang cerdas bisa menalar maksud MK diatas
edeilweiskesumawijaya ,artinya jelas ada pelanggaran etik yg dilakukan kpu yg seharsnya kpu menolak pendaftran cawapres yg tdk memenuhi syart
Muhammad Majreha ,muter2 si dkpp🤣
SagitariusBoys ♐ ,DKPP yg penting cuan boss 🤪
Hukum mati Koruptor ,02 dikualifikasi sudah jelas
Angga Orin Naza ,"MK HARUS MEMULIHKAN NAMA BAIKNYA!!!
AYO MK BUKTIKAN!!!"
xan xan ,semoga bisa legowo dan sadar saat Prabowo gibran dilantik
Kang Ghosting ,PEMILU ULANG & 02 DI DISKUALIFIKASI 🙏
ghost_mistiz ,woii ....presiden dibawah 40 thn di luar negeri banyak
🐝 ,02 didiskualifikasi
Koran_Aceh ,"Jangan berbelit - belit dkpp, mengapa peringatan terakhir sampai tiga kali"
zaen ,Muter muter puter terus sampe sah hehehe
MasBud325 ,Semua sdh satu paket...KPU..DKPP...BAWASLU...dan MK periode si paman..
Badar@umam ,positif gibran nga ikut pemilihan ualng
Camelia S ,jelas aja enggak bisa d batalkan krn anak presiden
AN.YUN ,02.keok
maisarahmarii ,diskualifikasi 02 🤣🤣
YansEtalase ,harus pemilu ulang tanpa 02
user533179692921 ,Klo pemilu di ulang saya sklrga pilih prabowo sumpah asal bukan Gibran cawapresnya
Ndys ap ,"DKPP sdah sesuai tupoksinya..
siapa yg melanggar putusan MK maka mereka melanggar UUD.."
yaniyami12 ,saya ga dapet bansos tapi saya pilih 02
BG DEX ,Semua takut karena surat presiden ke KPU tentang menyetujui pencalonan anaknya sebagai wapres...
Jhonijaya9 ,"Kalo Pemilihan Ulang Kita Buktikan meskipun Prabowo tanpa Gibran, Pasti tetap menang.."
not mee ,DKKP takut juga mediskualifikasi gibran makanya keterangnya bgtu.
anam ,pinter malah sebaliknya😏😅
Mana Suara Hatimu ,kyk ngomong sama teman az bukan dlm persidangan.
Fitriphotocopy ,kenapa tidak dri awal🙄🙄
nyiiii ,kenapa nggak d periksa juga pak pencalonan Gibran
lisa😍 ,udah jlas 02 di diskualifikasi
Ijeum89 ,Ya Allah permudahlah semua perjuangan agar indonesia lebih baik 🤲
A.Diansyah ,putusan MK aja bisa meski Ketua MK sebelumnya di berhentikan. pasti bisa dg turunan turunan dan putusan putusan
user8818134967206 ,pak mk YANG jujur selamat dunia aherod amin
ARI-SUMENEP ,tunggu saja tgl 20 pengumumannya kan kita cuma rakyat kecil mengikuti apa kata pemimpin
gindo ,semoga MK masih mencintai rakyat dan bangsa Indonesia 🤲🤲🤲
Rachma Trisia ,takuuttt.. krn anak presiden 😂😂😂
SISWAHYUDI ,pemilu ulang tanpa 02
Anwar Husein ,berpihak berarti
warnoputro115 ,😅😅😅😅dagelan.....
inem_ngejrenx ,trus DKPP hanya pemantau etik KPU nya aja? kelanjutannya apa actionnya? Fungsinya lembaga ini apa?
HD@27071977 ,DKPP tau gak tugasnya
Masniati ,yg jelas. pemilu d ulang lg
Bunga ,Semoga ada ke adilan
cintamu ,😂😆🤣🤭 hadeeew 🤦🏻‍♀️
muliautamasiregar ,bulet terus jawabannya🤣🤣
Antoeaditia ,01 03 pemilu ulang tanpa 02👍👍
ranger biru 💢 ,dkpp pihak 02
EDANE 501 ,feling gw ....pemilu ulang presiden 😁😁😁
INDAR ,pemilu ulang dr awal semua ....
HMJ ,sepertinya akan dilantik PRABOWO tanpa Gibran
manikmaya79 ,Saatnya MK ambil Keputusan Selamatkan KONSTITUSI dan DEMOKRASI di NKRI
Ipung.s. ,"Karena
Uang
Hancur
Perkara"
Masyarakat Kecil Peduli NKRI ,Didiskualifikasi 02 😎
BangHar ,dagelan semua
sammahsam9@gmail.com ,saya pendukung Anis..kalau pilih ulang Tampa Gibran...
Bunga sari ,Amplop berkuasa. Sidang hanya Sinetroon.
──═हই❂͜͡🇮🇩L Sonhi ✯͜͡❂ইह═ا ,Kembalikan ke dasar Negara Pancasila dan UUD 45 👍
who I'am ,terus dkpp fungsinya apa..
mulyadi syahputra ,"gibran bisa saja di dis
prBowo tanpa wakil di lantik"
rumahproduktif2 ,masalah disini sdh jelas ya sebenarnya
fahmisukahar ,gak bisa menjelaskan krn takut sama joko
shvjbvbhg ,fix diskualifikasi 02 wassalam
Deva ,semua akarny samsul ya 😀
sahid ,saya perhatikan komen komen ya lebih cerdas dari pada petugas.. rakyat sudah cerdas.
pak usu ,alhamdulilah dgn izin ALLAH udh terbukti pemungutan ulang
Mais Lubis ,diskualifikasi 02 dalam pemilu 2024.
workshopakrilikparigi ,berawal dr keputusan paman 🤣🤣🤣
Tri Yono ,mulai menunjukan kebenaran
S.A CHANNEL ,DKPP keliatan masih was2 memberikan alasan2 konkrit ...dan ini sangat membuka tafsiran hukum MK..
#KUCIANG GAROENG# ,sangsi gk da 😳😳
trihardono37 ,"DKPP, KPU, Bawaslu pro djokowee"
ihsan ,02 akan keok
BTS ,"kalo bener MK memihak dh fix, dagelan 02..😏"
@rkashop ,DKPP tak kirain dewan kemenangan pemilihan prabowo🤔🤔
Bie_fm ,sumber pelanggaran nya dr MK ya harus di benerin di MK juga..
user6100543574196 ,berarti penvalonan gibran mall administrasi
Khumiyatul ,dkpp takut bossnya
Soundrenaline Rumi ,apapun alasanya aturan tetep aturan yang wajib di taati oleh siapapun . itu intinya
keluarga CEMARA ,dlm hatinya ok gas ok gas...tidurr lagi aaah .
Anandasyah ,risalah sidang ngga di publis? 😁
santoso ,dkpp (duit komisi piro pak)
mas yoyo ,02 di diakualifikasi
lubs ,klau bgini gue yakin 02 di dis
Rajanta Pabrian ,isinya 01 dan 03...hahahaa
Agam.bjgr ,kenapa ngk di permasalahkan sebelum pilpres ya.
nurmaita5712 ,banyak komenan anak Abah disini😂
maktek carlu ,smoga mk bisa berlaku adil dan jujur trhadap keptusan yg mau di ambil dan tdk dlm pngaruh intervensi dr pihak manapun
telihan's ,"JIKA DLM PELANGGARAN ETIKA TERSEBUT TERNYATA MENIMBULKAN KERUGIAN, MAKA YG MERASA DIRUGIKAN BERHAK MELAKUKAN TUNTUTAN KE MK"
BURHAN ,BANGGA SAYA SAMA KETUA SUHARTOYO
BAYO SUTI SIGORAON ,"semua melanggar etik, tp kt harus maju terus itu intinya..hahahaaaakkk..."
Nur Hayati ,smg yg haq itu haq yg bathil itu bathil agar berdiri tegak di bumi indonesia
mulyadi syahputra ,pemilihan ulang mencari wakil pak prabowo saja
eka ,"Hebatnya pak jokowi dengan diskresi kekuasaan suksesi pada keluarga yg sukses,,,"
aries. ,yg jelas alasan udah dpet tebel
Khairul Amri ,kan ketua mk nya paman dia bang gimana sih mikir aja sendiri
Anjar Kurniawan592 ,bismillah semoga dapat keputusan yg baik
nenenggggg ,negara kita itu negara hukum apa negara etik
Ai Gaming Project ,yg meloloskan gibran bermula dari MK ndk mungkin MK bakal membatalkan pencalonan gibran
Rincahyani ,"ya Allah, terangilah lembaga peradilan ini dg netralitas yg benar2 netral dan logis"
thv2 ,"berubah rubah ihhh, ini kalau a ga bisa ganti b ganti lg c dst. kapan beresnya 🤣"
F ,Kesimpulannya ini udh sahh😂
BODREXIN ,muter2 bro
Romly 234/reza ,"tugas dkpp apa jadinya,nonton aj,periksa etik dan hukumnya juga lah..."
tukangai ,Fungsi DKPP apa
Popon ,Diskualifikasi 02
Dewi awan ,sebener nya ketua KPU nya juga ragu ke absahan pencalonan Gobran
Hasrul Andestapa ,tetap 02 menang
Noer Noer ,sudah jelaskan Prabowo tetap presiden Indonesia 🤣🤣🤣🤣🤣🤣🤣
Camelia S ,"enggak tau, knp tanya saya, hahahahaha"
A&A ,"Tidak ada pelanggaran *hukum* pencalonan Prabowo - Gibran. Fakta hukum itu terang, bukan asumsi."
lani ,"berarti ada celah dlm hukum di indonesia, baru ketahuan setelah di bobol"
user364712975329 ,ayo pk prabowo jdi capres pk jokowi wakilnya😁
Putri Arinda Shop ,DISKUALIFIKASI 02 titiiiik.
DewiSlim💃🏻 ,aaa kasian gibran tetap cawapres dan akhirnya menang ✌️
Zulfi Ahkam ,DKPP rasa timses😂😂
E=mc² ,yossshh mantap gibran 😘
conanaja240 ,ternyata gampang juga ya kerjanya DKPP.. ...gajinya berapa sih ?
Dayat ,"lapor kepaman Usman,terlalu banyak laporan tapi tidak direspon"
Imam Safi'i ,trus siapa yg bisa menentukan sah dan tidak nya. klo ada pelanggaran
pejuang rupiah ,02 diskualifikasi 😇
Vladimir Zuhri CBR ,sidang dagelan 😂😂😂
slametwahono6 ,smua cari amannn....
Sonic ,pemungutan ulang...🥺🥺🥺
pakpikpuk ,lucuu bapak ini..😂😂
ana isema ,tugasnya melindungi
w@l@ng_sungs@ng_99 ,yakin MK masih bisa netral😂.
raff_id ,dagelan memang
wijaya ,tanpa gibran prabowo 90%
ACEH MULIA 1 ,amplop tebal semua Masalah selesai
Oki ,pak Suhartoyo..pertanyaan luar biasa..mantap hebat
Tonang.Rg2 ,segera diskualifikasi kan 02
eitoendRa ,"pelanggaran etik ada ...tp eriknya apa ,sah dan tidaknya reneng remeng"
Pete oseng ,takut krna ank presiden
bambang66377377 ,"prabowo oke, gibran no, ok gas ok gas"
jiwabebas ,gak ada yg komen ayo gas ayo gas all in..
racka ,dulu minta perpanjang jabatan agar Gibran mencapai batas usia minimal....krn gak berhasil diterobos aturan k MK agar batasan umur bisa terakomodir
randiavg ,muter muter ngomongnya
amorgan ,"terangkanlaaahh,,"
hikmahbanna5 ,Ya Allah smoga hakim2 MK dpt mngambil keputusan yg benar n adil n tdk takut dg intimidasi atau iming2 dlm bntuk apapun.🤲
Toman Siahaan ,etika kan tdk berdiri sendiri
user2261255883847 ,Takut sama pak lurah
feri hendra kusuma irawan ,"nah DKPP udah bener,, problemnya di administrasi KPU yg menjadi perdebatan"
bayu herlambang ,"semoga ini bkan panggung sandiwara,dan semoga hakim mk benar² menegakkan keadilan.."
Rang Pitopang ,Amplop yg bicara
Berry ,karna gara gara si budi kan😁
Juan Felix Michael ,siip....
ferdinandbanoet ,"pertanyaannya ; knpa tidak sedari awal dipersoalkan. dlu pda koar2 menerima keputusan MK 90, giliran pada kalah baru menggugat. lucu pada manusia 🤦🤦"
Kang Photo ,"DKPP tugas nya, selain memberi teguran, teguran sedang, teguran keras, dan teguran paling keras 😂"
Usep Takdimuloh ,mening putaran kedua
Semar Misem ,hakim harus mempunyai keputusan yg adil tidak boleh semina2 karna demi uang ingat bagi para hakim anda sangt besar pertanggung jawaban d hadapan Allah
happysuccessfull ,Kelihatannya akan terjadi People Power bila MK memutuskan Paslon 02 tetap sah sebagai pemenang.
Rey Buchek ,Selamatkan demokrasi di negeriku
Maria ,DIS 02
Juan Felix Michael ,ente ya ☺️🤣
MAS ALI ,ini baru hakim mk🥰
Uci' Susilawaty ,"kira"" klu 02 kalah dipermasalahkan ndak y...🤔"
PokeMe ,🤣🤣 settingan?
kartika ,yang melanggar MK tpi yg mengadili juga MK.
🇮🇩 SUKMA AZIZ F_P 🇵🇸 ,"brry ttp sah bos,"
UA ,insya Allah kebenaran akan menang
sofian 95 ,prodak president GK bole melawan
4nkri33zz68 ,apapun dh d beli...
Aryaaja ,"semoga ketua MK bijak mengambil keputusan adil,demi negri ini ,demi rakyat Indonesia"
tegucigalpha ,tahu kan😅😅
mas weecan ,anak abah menghibur diri... 😅😂
basino bawor ,kan dugaan
sriwidodowidodo94 ,hasil MK d MK lucu
Asriel ,Pak Mk pemilu ulang tanpa nol 2
Tar Jo ,tagar diskualifikasi 02
Neng Sarah ,"MK cuma pura pura,02 tetap menang 🤣🤣"
Jhony Pelangi ,anak presiden gitu punya power untuk mengendalikan kpu
Jackal Al Kahf ,02 diskualifikasi
Nanno Nora Clara ,diskualifikasi 02
Yudiarto Yuyud ,"apa kalian orang""pintar bisa x di kalah kan dengan seorang tukang mebel berasal dari solo"
Fawwaz azzainul ,intinya harus pemilu ulang Tanpa Gibran
nurkholis4385 ,"pemilu ulang tampa gibran, saya pilih prabowo"
no name ,"ada capres yg lewat umur dan cawapres yg kurang umur, jika pemilu ulang apakah boleh dipilih?"
AlnaMedia ,DKPP tdk punya kewenangan dlm putusan KPU secara hukum. Jd smua akn kembali d putuskn oleh MK sbg mahkamah tertinggi sbg bdn hukum konstitusi.
user9706633963336 ,berarti para oemegang hukum menghendaki rakyat Indonesia mencari dan menegakan hukum dan demokrasi
alat pencukur jembut ,wajib diskualifikasi pokoknya 02
r z l t i s n o ,MK kok seperti berat sebelah ya
Arna Sum Justice ,takut bget pak memberikan keterangan berkaitan putusanya sendiri
wiro212 ,"ingat itu pelanggaran etik bukan pelanggaran hukum
jadi tidak ada alasan diskualifikasi"
mima icent ,DISKUALIFIKASI 02
Bhene E'O ,ternyata dkpp cuma simbol backing kpu doang yah
wiwitwidiyanto572 ,token listrik 16% makin berisik...
senada ,"baloran,kalo ada pelanggaran yg di lakukan kpu dlm pencalonan gibran,berarti tidak sah,cuma siapa yg akan memutuskan saja."
budis3188 ,rancangan besar yg sudah .....tertata
manbro87👊 ,duit LG nih
mommy2kids ,"saling lempar2 an ttg jawab antara KPU, DKPP n BANWASLU.... moga MK bs bersikap adil n independent dlm menegakan keadilan"
Suparno Kirun ,di Indonesia kejujuran itu sangat langka
user9477695191612 ,anak pa lurah mana bisa di batal kan.
dimitry ,jd saling lempar cari aman
Jony ,DKPP itu kiriman wiwi
olixofar01 ,Disqualified belimbing sayur🤣
Tipu Daya ,"Setelah kami menyimak dan memahami isi dan percakapan dipersidangan ini, kami bisa berkesimpulan bahwa semua punya rahasianya masing masing,"
Ishigaki ,saya punya pendapat kemungkinan putusan hakim tidak ada diskualifikasi atau pemungutan ulang . .
rony ,trus fungsi dkpp apa? dan termasuk bawaslu buat apa klo itu etik tp tdk ada sangsi
Curly Dastan ,"tinggal bilang salah yah salah benar dan benar itu aja kan.
knp seakan di buat susah dan sangat berat.
ya ALLAH ..
ayolah yg fer.
🙏"
agusyono445 ,❤
Yadhi Skm ,😂😂😂
AlFa S ,😳😳😳
mansaloroh7 ,𝑡𝑑𝑘 𝑓𝑎ℎ𝑎𝑚 𝑠𝑎𝑚𝑎 𝑗𝑎𝑤𝑎𝑏𝑎𝑛𝑛𝑦𝑎 𝑝𝑎𝑘 𝑑𝑘𝑝𝑝
danang ,😂😂😂
sellybiayan ,😳😳😳
ishak anggara ,🤩🤩
Hardi Ansyah ,sudah di setting 😁
ejobtea ,🥰🥰🥰
Rahmat Saputra ,🤣🤣🤣🤣🤣
Mas'irex👍🏻 ,🤣🤣😂😂🤭🤭🤭
user730377804490 ,👍👍👍👍👍
Re..Nts ,😅😂🤣
Syaprudin Bungo ,✌️
Ibrahim123@# ,😂
Ари Курниаван ,🤟🤟🤟🤟
lamsihar_siregar_888 ,Sanksi ke KPU karena KPU belum merevisi persyaratan pencalonan Ca & Cawapres setelah keputusan MK menyatakan.usia Mas Gibran sah untuk mencalonkan..
Malik Witta ,"Yes, Diskualifikasi!!!"
alphatester8 ,intinya dkpp cari aman #dahlah
Rambo07 ,kalau 02 tadinya kalah pasti pencalonan gibran tidak dipersoalkan... bukan begitu anak2 abah dan janggar ?
T a m ,"kata dkpp ada 2 poin pelanggaran etik kpu.... saya mencoba menebak = menerima berkas calon yg berkasus kah atau soal usia🤣🤣🤣
tebak2 yukzz🤣"
d'LLoyd ,ternyata semua punya kepentingan 2019 terulang lagi
keluarga CEMARA ,woy udah sepaket etamh ..paket kombo
Tagor ,"emang ada waktu utk ulang pemilu? okt sdh ngga Presiden, Nov Pilkada...."
suroto1691 ,Penyelenggara Pemilu pro dinasti kredibilitas & akuntabilitas diragukan.....
8lacksmith ,trus apa gunanya DKPP didirikan
Jon Legoo ,artinya fungsi DKPP itu utk apa????
abdulrasyid4591 ,padahal kalau pak prabowo tak memilih gibran sbgai wakil nya.pasti naik juga
Ahongwijaya ,"ini KLW Gibran dipasangkan dengan yg lain sebut saja ganjarbapa kenadiannya Akan Kaya gini,saya rasa tidak🤣
tapi KLW Gibran dipasangkan SM Ganjar juga blm tentu menang🤣🤣
yg menang ttp prabowo🤣🤣🤣"
Ihya Al Ansory ,yah diskualifikasi 🥺
Bang Aces oke ,"Jelas kan, etik pendaftaran oleh KPU. Bukan sah atau tidaknya pencalonan Gibran. Gibran ttp sah"
Uud Uus Nasgor ,terus apa gunanya dkpp kalo gak bisa menghukum
martinusdo6 ,"jika dkpp tdk bisa mengambil keputusan pelanggaran kpu, maka sdh sepantasnya mk utk menyelidikinya"
rin ,penjelasan DKPP ini sy pastikan diskualifikasi 02.
lively feel ,hanya MK yg bs memutuskan soal itu
uchy ,Tidak ada artinya keberadaan bawaslu dan dkpp.
clara_balqissucirama ,klo prosesx salah ap hasilx ds dibenarkan
bensar ,sidang pelanggaran etika kpu atas substansi teknis pelaksanaan tupoksi dlmvproses penetapn calon. bukan sidang etik atas prilaku kpu. 2 hal yg berbeda. -+maaf.
Nadivo Shop ,takut
user2007338533259 ,yg dipermasalahkan adalah kode etik bukan dasar hukum Sah atau TDK Sah.....dg dmk pencalonan Prabowo Gibran SDH sah sesuai surat keputusan MK no 90
deny setiaji ,"rata rata anak abah yg koment disini, saya pastikan anis plepsodent"
BAPAK UCU ,"selama KPK,KPU,MK msh di bawah ketiak presiden jgn harap ada keadilan"
eman ,"UTK APA DKPP DIADAKAN KAL CM UTK MENILAI TTAPI TDK BS MENGAMBIL TINDAKAN TEGAS, BUANG"" DUIT RAKYAT AJA"
ardy ,dkpp....ordal KPU..
ans_ ,halah. entah
Anak kontemporer ,"putusan mkmk pencalonan Prabowo Gibran melanggar etik berat
KPU menerima calon Prabowo Gibran melanggar etik.
knp alasan DKPP sah dan tidak sahnya."
AkarRumput80 ,Impossible bin Mustahil keadilan dan kebenaran bisa ditegakkan
erwinsyah_harahap ,kalau ada pelanggaran etik berarti KPU bersalah dong...dan pemilu tdk sah...juga 02 diskualifikasi..
ariefwijaya9271 ,"DKPP: Lu melanggar
KPU : Lalu?
DKPP: Ya udah gitu aja sihh 🤣"
warung zein ,udah pa dari pihak AMIN masalah pengajuan calon wapres gibran diajukan ke bawaslu tapi tidak ditindak lanjuti
Hakifah Hakifah ,setuju
Mudins ,02 Hrs Diskualifikasi
faisalcibin0 ,"melanggar etik atas perbuatan apa ya ?
#Melintir"
Juraganracun & benihpadi ,dkpp gak netral
Pardi Idrap ,"02 tdk bisa membantah semua dalil 01 n 03, ini artinya tuntutan 01 n 03 dikabulkan semua"
𝐁𝐔𝐌𝐈 𝐒𝐘𝐀𝐌 ,Gagal paham dgn tugas 𝔻𝕂ℙℙ dan Efek lanjutanya dari keputusan 𝔻𝕂ℙℙ. ?
Abdu Algiafari lubis ,"berarti sah ya, kpu melanggar kode etik, tpi di bidang mna? kok ngga dijelaskan 2 hal tersebut"
Dukun Pijat Nasionalis ,"sama halnya keputusan seorang dokter yg memberikan resep obat. kalau obat yg diresepkan oleh dokter berakibat vatal, apakah dokter tetap tidak bersalah dlm memberikan resep obat ?"
@᚛ᷝ ͣ ͫRyan557™ ͭ ͪ᚜ ,"hanya sekedar mengetahui, tp tdk tindak dr pelanggaran etik kpu, sma aja tdk melakukan tindakan apa2 dkpp"
pak zega ,"Karena tidak sah, maka muncullah putusan pelanggaran etik"
Putra Larantuka ,"ada 2 yg menjadi pelanggaran kapeu, tapi semua nya gx di tindak, 😂😂"
judindin ,udah di laporkan Andi. cuma gak di respon
tamsrisritam ,semoga bapak mk tidak mau di beli
Kang Pays ,# diskualifikasi 02#
ru910 ,Jelas ada pelanggaran berulang-ulang tapi kok cuma dikasih peringatan doang.
Hoby sofyan ,semoga sehat selalu semuanya tegakkan hukum untuk kepercayaan pilpres selanjutnya harus jujur dan adil 🇮🇩❤️
Nur Muhammad ,Demi keadilan hrs pilpres ULANG
X'TIAN ,lgian knp sie Mk mutuskn batas usia stlh Gibran ikut cawapres? knp jg KPU Nerima Gibran ?
PONDOK BIBIT ,"Andai kata saya gibran saya memilih saya tidak akan maju, karena saya tau bahwa putusan ini poblematik🔥🔥"
boyscout satu ,alasan nya kenapa nih?
Alimachr ,hore Capresku menang 🥰
Imam4495 ,tidak ada pemilihan ulang itu dalil DKPP
shachi & penguin ,"setelah putusan MK, kan peraturan sudah berlaku"
John Batafor ,up
I LOVE MUHAMMAD SAW ,"اللهم صل على سيدنا محمدن الفاتح لما اغلق والخاتم لما سبق ناصر الحق بالحق والهادي الى صراطك المستقيم وعلى آله حق قدره ومقداره العظيم
#UNTUK PERUBAHAN"
raffasya15 ,seharusnya 01&03 itu ke mknya sebelum pemilu di mulai kenapa sudah baru ke MK dah di MK pengajuannya sengketa hasil pilpres tpi pada kenyataan yg di bahas Jokowi dan bansos BKN hasil pilpres
Fandie Gybbran ,berarti gk ada manfaatnya dong DKPP
Bayou ,Harusnya MK focus di Bawaslu aja Krn TDK mungkin sengketa pilpres dibawa ke MK klu Bawaslu mau memproses semua laporan pelanggaran itu aja pointnya
Yuyun fashion store ,gimana ya rasa hati Gibran saat ini?
Linda Sari ,ADA SURAT SAKTI DARI PAK LURAH SIAPA YANG BERANI MENOLAK
Reyaaa ,"Gw setuju pemilu ulang. tapi dengan semua calon yang baru, tanpa anis, prabowo, ganjar dan para wakilnya."
RPBX AGENCY ,"HALLO GW DARI MASA DEPAN, 01&03 GABISA NYALONIN LAGI JADI PRESIDEN WKWKWK"
mama kembar ,"pemilu ulang suruh 01 03 biayain,96 juta golput suara..sisa suara2 dr rakyt pemilih 24 dan 16%,ga bakal Syah.. juga..banyakan golputnya."
NdanYok Yoyok Subagiono ,hey DKPP dulu mana telur atau ayam...ada kaitannya nggak telur dgn ayam...bukan ayam sayur lho ..
pacci ,"Sidang MK ini mestinya simpel saja , utk apa lama sidangnya, bukti kunci suda ada , paket Paslon 02 tdk Syah , tentu hasilnya juga tdk Syah , 02 harus"
Sunan KALIBENDHO ,sul sul samsul koe dolan nang ndi tak golekki kok ra temu
R I Dinata.SE.SS.CLA-P ,"Rusak berat KPU dan DKPP, setali 3 uang, ada kong kali kong! 😂"
JURAGAN BERAS ,Hasil dr cawe2 emang mantap. Syg anak..👍
telihan's ,"KESIMPULAN BAHWA, ADA PERBUATAN ONRECHMATIGE DAAD YG HARUS DI PERTANGGUNGJAWABAN KAN OLEH KPU"
si.rongrong ,"yakin ada bisa ngalahin bapaknya ghibran?
khalid bin walid dunia politik nih bos😎
win rate 100%"
nursaid ,ulangg biar adilll
Moeza Belvani Celine ,"IPK 2,3 hebat bgt ya .. 🤣🤣🤣"
Muh. Hafidz ,saling lempar bola panas... 🤣🤣
Yusrizal 88 ,"menabrak pagar
hingga banyak pihak menanyakan mengapa tabrak pagar."
HD MUSIC STUDIO ,dkpp sudh memberikan bahwa ad kode etik yg d langgar cuma tdk bisa memutuskan sah dan tidaknya calon di sini bagi orng yg punya akal sehat pasti paha 😁😁🍞🍞🍞🍞
samodra010 ,semoga pak purnomo mengerahkan anak buahnya utk menjemput anak abah biar gak tambah parah
Warsito ,"Tatar, tidak ada gunanya, jadi siapa yang lebih baik dari itu?"
zonanyaman35 ,"mudah2an sidang kali ini benar2 sidang atas nama kadilan dan kejujuran spy Marwah MK bisa tegak, ingat akherat ya pak"
frd09 ,yg tidak bisa di rubah itu hukumnya Alloh... hukum alloh itu nyata ..
